	Station	Elevation	Longitude	Latitude	Gravity	g_norm	delta_obs	g_abs_pred	g_norm_pred	delta_pred	residuos
0	1	585.44	-39.9184	-5.4224	977923.454	977897.8957097485	25.558290251530707	977910.7323310999	977897.8957097485	12.836621351423673	12.721668900107034
1	2	610.596	-39.9278	-5.4199	977919.0859999999	977890.0879475148	28.99805248505436	977902.5994091999	977890.0879475148	12.511461685062386	16.486590799991973
2	3	602.146	-39.9363	-5.4239	977921.063	977892.7641803022	28.29881969781127	977903.9675358	977892.7641803022	11.20335549779702	17.09546420001425
3	4	620.888	-39.9444	-5.4231	977916.979	977886.9652001376	30.013799862470478	977898.0916634001	977886.9652001376	11.126463262480684	18.887336599989794
4	5	615.491	-39.9544	-5.4243	977918.161	977888.651531775	29.50946822494734	977899.5951924999	977888.651531775	10.943660724908113	18.565807500039227
5	6	580.444	-39.9631	-5.427	977924.16	977899.5159648313	24.644035168690607	977910.3353920999	977899.5159648313	10.819427268579602	13.824607900111005
6	7	558.938	-39.9716	-5.4299	977928.328	977906.2039470893	22.124052910716273	977917.2479861	977906.2039470893	11.044039010768756	11.080013899947517
7	8	512.534	-39.98	-5.434	977936.77	977920.5984129007	16.171587099321187	977932.0455902	977920.5984129007	11.447177299298346	4.7244098000228405
8	9	501.39599999999996	-39.989	-5.4361	977938.618	977924.0724289444	14.545571055612527	977936.6482346001	977924.0724289444	12.575805655680597	1.96976539993193
9	10	516.612	-39.9979	-5.4388	977935.844	977919.4211297436	16.42287025647238	977933.2853613001	977919.4211297436	13.864231556537561	2.558638699934818
10	11	541.104	-40.0069	-5.4383	977930.6009999999	977911.8519707223	18.749029277591035	977927.3331902	977911.8519707223	15.481219477718696	3.2678097998723388
11	12	541.731	-40.0162	-5.4418	977931.786	977911.7179570954	20.068042904604226	977928.5585918002	977911.7179570954	16.840634704800323	3.2274081998039037
12	13	547.646	-40.0264	-5.4435	977931.691	977909.9209490995	21.77005090052262	977928.1461263001	977909.9209490995	18.225177200627513	3.5448736998951063
13	14	565.3969999999999	-40.0351	-5.4416	977930.275	977904.4089685006	25.866031499463134	977923.4858661998	977904.4089685006	19.076897699269466	6.789133800193667
14	15	594.605	-40.0424	-5.4415	977926.047	977895.3910037059	30.655996294110082	977914.7822691	977895.3910037059	19.391265394049697	11.264730900060385
15	16	604.776	-40.0515	-5.4379	977924.566	977892.1900938682	32.37590613181237	977911.498788	977892.1900938682	19.308694131788798	13.067212000023574
16	17	605.452	-40.0606	-5.44	977923.05	977892.017137681	31.032862319028936	977910.7800027999	977892.017137681	18.762865118915215	12.269997200113721
17	18	602.34	-40.0707	-5.4421	977924.253	977893.0135053479	31.23949465213809	977910.5768713001	977893.0135053479	17.563365952228196	13.676128699909896
18	19	575.493	-40.0787	-5.4445	977929.037	977901.3417642586	27.695235741441138	977917.6121569	977901.3417642586	16.270392641425133	11.424843100016005
19	20	560.496	-40.0874	-5.4458	977931.641	977905.9933728243	25.647627175669186	977920.3731959999	977905.9933728243	14.37982317560818	11.267804000061005
20	21	565.775	-40.0971	-5.4473	977927.281	977904.389324338	22.891675662016496	977916.2337873001	977904.389324338	11.844462962122634	11.047212699893862
21	22	571.409	-40.1062	-5.4487	977923.821	977902.673997021	21.147002978948876	977911.8854948	977902.673997021	9.211497779004276	11.9355051999446
22	23	509.085	-40.1156	-5.4465	977932.974	977921.8757731098	11.098226890200749	977927.9467331	977921.8757731098	6.070959990145639	5.0272669000551105
23	24	464.44300000000004	-40.1235	-5.4394	977941.837	977935.5361430158	6.300856984220445	977938.4560062999	977935.5361430158	2.919863284099847	3.380993700120598
24	25	416.85900000000004	-40.133	-5.4389	977951.829	977950.2173813535	1.6116186465369537	977949.9932546	977950.2173813535	-0.22412675351370126	1.835745400050655
25	26	404.06	-40.1415	-5.4412	977953.338	977954.2077653767	-0.8697653766721487	977951.5736004	977954.2077653767	-2.6341649766545743	1.7643995999824256
26	27	385.98699999999997	-40.1508	-5.4382	977954.935	977959.7362036611	-4.801203661016189	977954.2669566	977959.7362036611	-5.4692470610607415	0.668043400044553
27	28	391.631	-40.1589	-5.4355	977953.527	977957.9478885436	-4.420888543594629	977950.3358319	977957.9478885436	-7.6120566435856745	3.191168099991046
28	29	388.52099999999996	-40.1683	-5.4323	977952.748	977958.8536304794	-6.1056304794037715	977949.1211928001	977958.8536304794	-9.73243767931126	3.626807199907489
29	30	379.27	-40.1766	-5.431	977954.925	977961.6875191038	-6.762519103707746	977950.5095048001	977961.6875191038	-11.17801430367399	4.415495199966244
30	31	378.341	-40.1845	-5.4298	977955.122	977961.9539432736	-6.831943273660727	977949.6998202	977961.9539432736	-12.254123073653318	5.422179799992591
31	32	370.385	-40.1937	-5.4285	977956.286	977964.3880605495	-8.10206054954324	977951.1736405	977964.3880605495	-13.214420049451292	5.112359499908052
32	33	368.715	-40.2026	-5.4272	977957.3759999999	977964.8815611271	-7.505561127210967	977951.0093956	977964.8815611271	-13.872165527194738	6.366604399983771
33	34	364.85400000000004	-40.2113	-5.4258	977958.5390000001	977966.0497820872	-7.510782087105326	977951.7098569999	977966.0497820872	-14.339925087289885	6.829143000184558
34	35	369.756	-40.2203	-5.4246	977956.882	977964.5160663113	-7.634066311293282	977949.8392786998	977964.5160663113	-14.676787611446343	7.042721300153062
35	36	367.046	-40.2302	-5.4231	977957.316	977965.3272623337	-8.01126233371906	977950.3248570999	977965.3272623337	-15.002405233797617	6.991142900078557
36	37	358.215	-40.2402	-5.4216	977958.936	977968.0281621144	-9.09216211445164	977952.6832796999	977968.0281621144	-15.344882414559834	6.252720300108194
37	38	346.43699999999995	-40.249	-5.4202	977960.964	977971.6405885482	-10.676588548114523	977955.9402355	977971.6405885482	-15.70035304815974	5.023764500045218
38	39	361.538	-40.2575	-5.4196	977957.562	977966.968371831	-9.406371830962598	977950.8897479	977966.968371831	-16.078623931040056	6.672252100077458
39	40	352.284	-40.267	-5.4158	977958.7740000001	977969.7609242484	-10.986924248281866	977953.1630358	977969.7609242484	-16.59788844839204	5.610964200110175
40	41	357.23900000000003	-40.2768	-5.4112	977957.552	977968.1533219537	-10.601321953698061	977950.9827213001	977968.1533219537	-17.170600653626025	6.569278699927963
41	42	347.68300000000005	-40.283	-5.4083	977959.233	977971.0544343746	-11.821434374549426	977953.4762607	977971.0544343746	-17.578173674526624	5.756739299977198
42	43	341.91900000000004	-40.2931	-5.4061	977959.57	977972.7967288728	-13.226728872861713	977954.4763461001	977972.7967288728	-18.320382772712037	5.093653899850324
43	44	349.834	-40.3013	-5.4055	977957.094	977970.3430224628	-13.24902246275451	977951.4137908001	977970.3430224628	-18.929231662652455	5.680209199897945
44	45	344.07599999999996	-40.3084	-5.4018	977957.802	977972.0581391857	-14.256139185628854	977952.6548178002	977972.0581391857	-19.40332138550002	5.1471821998711675
45	46	337.29900000000004	-40.315	-5.3941	977958.827	977974.0203949817	-15.193394981673919	977954.2542875	977974.0203949817	-19.766107481671497	4.572712499997579
46	47	327.76800000000003	-40.3238	-5.389	977959.865	977976.8768857867	-17.01188578666188	977956.5761164	977976.8768857867	-20.30076938669663	3.288883600034751
47	48	327.842	-40.3312	-5.3851	977959.484	977976.7883359134	-17.30433591338806	977956.0860406	977976.7883359134	-20.70229531347286	3.397959400084801
48	49	338.903	-40.3391	-5.3809	977956.608	977973.3027957103	-16.6947957102675	977952.2372008001	977973.3027957103	-21.065594910178334	4.370799199910834
49	50	348.658	-40.3465	-5.3757	977954.708	977970.2037090291	-15.495709029142745	977948.8373541001	977970.2037090291	-21.36635492905043	5.870645899907686
50	51	328.091	-40.3524	-5.3708	977958.593	977976.4709498804	-17.877949880436063	977954.8428119	977976.4709498804	-21.628137980471365	3.7501881000353023
51	52	330.705	-40.3613	-5.369	977957.4959999999	977975.6337052452	-18.13770524528809	977953.772148	977975.6337052452	-21.861557245254517	3.7238519999664277
52	53	332.18199999999996	-40.37	-5.3674	977958.538	977975.1508519814	-16.612851981422864	977953.1380797	977975.1508519814	-22.01277228142135	5.3999202999984846
53	54	326.405	-40.378	-5.3634	977959.2109999999	977976.8672530369	-17.656253037042916	977954.6920121	977976.8672530369	-22.17524093692191	4.518987899878994
54	55	320.388	-40.3863	-5.3578	977960.355	977978.630988748	-18.275988748064265	977956.2635899	977978.630988748	-22.367398848058656	4.091410099994391
55	56	333.684	-40.3957	-5.3599	977958.2420000001	977974.5613316832	-16.319331683102064	977952.2207884	977974.5613316832	-22.3405432831496	6.021211600047536
56	57	338.269	-40.3998	-5.3522	977957.2740000001	977973.0168321547	-15.742832154617645	977950.4567926001	977973.0168321547	-22.560039554606192	6.817207399988547
57	58	328.055	-40.4075	-5.3455	977958.4090000001	977976.0580903107	-17.649090310558677	977953.2783659	977976.0580903107	-22.779724410618655	5.130634100059979
58	59	325.274	-40.415	-5.3397	977959.5229999999	977976.8197475256	-17.29674752568826	977953.8648173	977976.8197475256	-22.954930225620046	5.6581826999317855
59	60	325.198	-40.4217	-5.3343	977959.59	977976.7530715986	-17.16307159862481	977953.6630486	977976.7530715986	-23.090022998629138	5.926951400004327
60	61	325.20099999999996	-40.429	-5.3289	977958.926	977976.6620962197	-17.73609621974174	977953.4655216999	977976.6620962197	-23.19657451985404	5.4604783001123
61	62	312.539	-40.4355	-5.3258	977962.3690000001	977980.5195770205	-18.15057702048216	977957.2505015	977980.5195770205	-23.26907552056946	5.1184985000872985
62	63	309.039	-40.4429	-5.3224	977963.2829999999	977981.5435162479	-18.260516247944906	977958.2339823	977981.5435162479	-23.30953394784592	5.049017699901015
63	64	307.559	-40.4523	-5.3178	977963.3559999999	977981.9238935558	-18.567893555853516	977958.6311386	977981.9238935558	-23.292754955822602	4.724861399969086
64	65	323.987	-40.4619	-5.3115	977959.498	977976.7473480854	-17.24934808537364	977953.6205007	977976.7473480854	-23.126847385428846	5.877499300055206
65	66	309.66200000000003	-40.469	-5.307	977963.067	977981.095175091	-18.02817509090528	977958.1373105999	977981.095175091	-22.957864491036162	4.929689400130883
66	67	316.762	-40.4786	-5.3007	977961.088	977978.7986718472	-17.71067184722051	977956.2123474001	977978.7986718472	-22.586324447067454	4.875652599846944
67	68	316.702	-40.4863	-5.2957	977960.666	977978.7343332598	-18.068333259783685	977956.5166225	977978.7343332598	-22.21771075972356	4.149377499939874
68	69	320.126	-40.4941	-5.2918	977961.042	977977.6126636097	-16.570663609658368	977955.7930328001	977977.6126636097	-21.819630809593946	5.248967199935578
69	70	316.546	-40.5029	-5.2879	977962.6740000001	977978.6533842462	-15.979384246049449	977957.3116997	977978.6533842462	-21.341684546205215	5.362300300155766
70	71	299.13	-40.5049	-5.2767	977966.118	977983.845188151	-17.72718815098051	977962.8704459	977983.845188151	-20.974742250982672	3.247554100002162
71	72	311.856	-40.5104	-5.2724	977965.2309999999	977979.8453218389	-14.614321838947944	977959.2220990999	977979.8453218389	-20.62322273897007	6.008900900022127
72	73	309.39099999999996	-40.5148	-5.2645	977966.593	977980.4761480963	-13.883148096268997	977960.1971645	977980.4761480963	-20.27898359624669	6.395835499977693
73	74	311.83299999999997	-40.5215	-5.2586	977966.593	977979.6251183064	-13.032118306378834	977959.7328009001	977979.6251183064	-19.892317406251095	6.860199099872261
74	75	316.465	-40.531	-5.2532	977964.434	977978.1062941463	-13.672294146264903	977958.6892264	977978.1062941463	-19.417067746282555	5.744773600017652
75	76	319.473	-40.541	-5.2475	977962.8640000001	977977.0840151134	-14.220015113358386	977958.1269158002	977977.0840151134	-18.957099313265644	4.737084199907258
